Freq,re(FFT),im(FFT),input,re(signal)
48.95,+6.11187,+1.27884,-0.10000,-0.00097
49.05,+6.14746,+1.15968,-0.09000,+0.00106
49.15,+6.15530,+1.04876,-0.08000,+0.00282
49.25,+6.18661,+0.92971,-0.07000,+0.00387
49.35,+6.19013,+0.81722,-0.06000,+0.00397
49.45,+6.21712,+0.69843,-0.05000,+0.00309
49.55,+6.21629,+0.58454,-0.04000,+0.00145
49.65,+6.23894,+0.46617,-0.03000,-0.00055
49.75,+6.23375,+0.35105,-0.02000,-0.00240
49.85,+6.25205,+0.23325,-0.01000,-0.00365
49.95,+6.24249,-0.11707,+0.00000,+0.00359
50.05,+6.25205,-0.23325,+0.01000,+0.00394
50.15,+6.23375,-0.35105,+0.02000,+0.00332
50.25,+6.23894,-0.46617,+0.03000,+0.00188
50.35,+6.21629,-0.58454,+0.04000,-0.00004
50.45,+6.21712,-0.69843,+0.05000,-0.00196
50.55,+6.19013,-0.81722,+0.06000,-0.00340
50.65,+6.18661,-0.92971,+0.07000,-0.00400
50.75,+6.15530,-1.04876,+0.08000,-0.00361
50.85,+6.14746,-1.15968,+0.09000,-0.00233
50.95,+6.11187,-1.27884,+0.10000,-0.00046
51.05,+6.09972,-1.38802,+0.11000,+0.00153
51.15,+6.05988,-1.50715,+0.12000,+0.00314
51.25,+6.04345,-1.61440,+0.13000,+0.00399
51.35,+5.99940,-1.73336,+0.14000,+0.00385
51.45,+5.97874,-1.83852,+0.15000,+0.00275
51.55,+5.93054,-1.95717,+0.16000,+0.00097
51.65,+5.90568,-2.06004,+0.17000,-0.00106
51.75,+5.85337,-2.17825,+0.18000,-0.00283
51.85,+5.82437,-2.27866,+0.19000,-0.00391
51.95,+5.76801,-2.39632,+0.20000,-0.00403
52.05,+5.73492,-2.49407,+0.21000,-0.00315
52.15,+5.67458,-2.61106,+0.22000,-0.00148
52.25,+5.63746,-2.70597,+0.23000,+0.00056
52.35,+5.57321,-2.82218,+0.24000,+0.00247
52.45,+5.53212,-2.91405,+0.25000,+0.00378
52.55,+5.46404,-3.02939,+0.26000,+0.00415
52.65,+5.41905,-3.11802,+0.27000,+0.00350
52.75,+5.34723,-3.23239,+0.28000,+0.00197
52.85,+5.29840,-3.31759,+0.29000,-0.00004
52.95,+5.22293,-3.43092,+0.30000,-0.00206
53.05,+5.17036,-3.51248,+0.31000,-0.00358
53.15,+5.09132,-3.62471,+0.32000,-0.00421
53.25,+5.03509,-3.70240,+0.33000,-0.00380
53.35,+4.95259,-3.81348,+0.34000,-0.00245
53.45,+4.89278,-3.88709,+0.35000,-0.00049
53.55,+4.80693,-3.99698,+0.36000,+0.00161
53.65,+4.74364,-4.06627,+0.37000,+0.00331
53.75,+4.65455,-4.17496,+0.38000,+0.00420
53.85,+4.58786,-4.23969,+0.39000,+0.00405
53.95,+4.49565,-4.34719,+0.40000,+0.00290
54.05,+4.42567,-4.40710,+0.41000,+0.00102
54.15,+4.33047,-4.51344,+0.42000,-0.00112
54.25,+4.25729,-4.56824,+0.43000,-0.00299
54.35,+4.15923,-4.67349,+0.44000,-0.00413
54.45,+4.08296,-4.72287,+0.45000,-0.00425
54.55,+3.98217,-4.82714,+0.46000,-0.00332
54.65,+3.90292,-4.87075,+0.47000,-0.00156
54.75,+3.79955,-4.97418,+0.48000,+0.00059
54.85,+3.71742,-5.01165,+0.49000,+0.00261
54.95,+3.61162,-5.11446,+0.50000,+0.00398
55.04,+3.52671,-5.14534,+0.51000,+0.00438
55.14,+3.41865,-5.24780,+0.52000,+0.00369
55.24,+3.33107,-5.27159,+0.53000,+0.00208
55.34,+3.22091,-5.37409,+0.54000,-0.00005
55.44,+3.13075,-5.39016,+0.55000,-0.00218
55.54,+3.01868,-5.49320,+0.56000,-0.00377
55.64,+2.92603,-5.50081,+0.57000,-0.00444
55.74,+2.81225,-5.60506,+0.58000,-0.00402
55.84,+2.71719,-5.60328,+0.59000,-0.00259
55.94,+2.60193,-5.70966,+0.60000,-0.00051
56.04,+2.50452,-5.69725,+0.61000,+0.00170
56.14,+2.38801,-5.80702,+0.62000,+0.00350
56.24,+2.28828,-5.78237,+0.63000,+0.00444
56.34,+2.17083,-5.89732,+0.64000,+0.00429
56.44,+2.06877,-5.85815,+0.65000,+0.00307
56.54,+1.95071,-5.98089,+0.66000,+0.00108
56.64,+1.84623,-5.92387,+0.67000,-0.00118
56.74,+1.72803,-6.05843,+0.68000,-0.00316
56.84,+1.62089,-5.97836,+0.69000,-0.00436
56.94,+1.50321,-6.13133,+0.70000,-0.00449
57.04,+1.39293,-6.01937,+0.71000,-0.00351
57.14,+1.27679,-6.20270,+0.72000,-0.00165
57.24,+1.16228,-6.04187,+0.73000,+0.00063
57.34,+1.04970,-6.28063,+0.74000,+0.00276
57.44,+0.92821,-6.03124,+0.75000,+0.00422
57.54,+0.82435,-6.39397,+0.76000,+0.00464
57.64,+0.68616,-5.91960,+0.77000,+0.00391
57.74,+0.61646,-6.75949,+0.78000,+0.00221
57.84,+0.28977,-3.61433,+0.79000,-0.00005
57.94,-0.04873,+0.53874,+0.80000,-0.00230
58.04,+0.02951,-0.29463,+0.81000,-0.00400
58.14,-0.02224,+0.20147,+0.82000,-0.00471
58.24,+0.01852,-0.15291,+0.83000,-0.00425
58.34,-0.01621,+0.12318,+0.84000,-0.00274
58.44,+0.01471,-0.10319,+0.85000,-0.00055
58.54,-0.01358,+0.08878,+0.86000,+0.00180
58.64,+0.01278,-0.07796,+0.87000,+0.00371
58.74,-0.01211,+0.06948,+0.88000,+0.00471
58.84,+0.01162,-0.06271,+0.89000,+0.00454
58.94,-0.01117,+0.05712,+0.90000,+0.00325
59.04,+0.01084,-0.05249,+0.91000,+0.00115
59.14,-0.01052,+0.04852,+0.92000,-0.00125
59.24,+0.01028,-0.04515,+0.93000,-0.00335
59.34,-0.01003,+0.04219,+0.94000,-0.00463
59.44,+0.00986,-0.03963,+0.95000,-0.00477
59.54,-0.00966,+0.03733,+0.96000,-0.00372
59.64,+0.00952,-0.03531,+0.97000,-0.00175
59.74,-0.00936,+0.03347,+0.98000,+0.00067
59.84,+0.00926,-0.03184,+0.99000,+0.00293
59.94,-0.00912,+0.03033,+1.00000,+0.00448
60.04,+0.00904,-0.02899,+1.01000,+0.00492
60.14,-0.00891,+0.02772,+1.02000,+0.00415
60.24,+0.00885,-0.02660,+1.03000,+0.00234
60.34,-0.00874,+0.02552,+1.04000,-0.00005
60.44,+0.00869,-0.02456,+1.05000,-0.00245
60.54,-0.00859,+0.02363,+1.06000,-0.00425
60.64,+0.00855,-0.02281,+1.07000,-0.00500
60.74,-0.00846,+0.02199,+1.08000,-0.00452
60.84,+0.00843,-0.02128,+1.09000,-0.00292
60.94,-0.00834,+0.02056,+1.10000,-0.00058
61.04,+0.00832,-0.01993,+1.11000,+0.00191
61.14,-0.00824,+0.01929,+1.12000,+0.00394
61.24,+0.00822,-0.01874,+1.13000,+0.00501
61.34,-0.00815,+0.01816,+1.14000,+0.00483
61.44,+0.00813,-0.01766,+1.15000,+0.00346
61.54,-0.00806,+0.01714,+1.16000,+0.00122
61.64,+0.00805,-0.01670,+1.17000,-0.00133
61.74,-0.00798,+0.01623,+1.18000,-0.00357
61.84,+0.00797,-0.01582,+1.19000,-0.00493
61.94,-0.00791,+0.01540,+1.20000,-0.00508
62.04,+0.00790,-0.01502,+1.21000,-0.00397
62.14,-0.00784,+0.01463,+1.22000,-0.00187
62.24,+0.00784,-0.01428,+1.23000,+0.00071
62.34,-0.00778,+0.01393,+1.24000,+0.00312
62.44,+0.00777,-0.01361,+1.25000,+0.00477
62.54,-0.00772,+0.01329,+1.26000,+0.00525
62.64,+0.00771,-0.01299,+1.27000,+0.00443
62.74,-0.00766,+0.01269,+1.28000,+0.00250
62.84,+0.00766,-0.01241,+1.29000,-0.00006
62.94,-0.00761,+0.01213,+1.30000,-0.00261
63.04,+0.00760,-0.01187,+1.31000,-0.00453
63.14,-0.00756,+0.01161,+1.32000,-0.00534
63.24,+0.00756,-0.01137,+1.33000,-0.00483
63.34,-0.00751,+0.01113,+1.34000,-0.00311
63.44,+0.00751,-0.01090,+1.35000,-0.00062
63.54,-0.00746,+0.01067,+1.36000,+0.00204
63.64,+0.00746,-0.01046,+1.37000,+0.00421
63.74,-0.00742,+0.01024,+1.38000,+0.00535
63.84,+0.00742,-0.01005,+1.39000,+0.00517
63.94,-0.00737,+0.00984,+1.40000,+0.00370
64.04,+0.00738,-0.00965,+1.41000,+0.00131
64.14,-0.00733,+0.00946,+1.42000,-0.00142
64.24,+0.00733,-0.00928,+1.43000,-0.00382
64.34,-0.00729,+0.00910,+1.44000,-0.00527
64.44,+0.00729,-0.00893,+1.45000,-0.00543
64.54,-0.00725,+0.00875,+1.46000,-0.00424
64.64,+0.00725,-0.00860,+1.47000,-0.00200
64.74,-0.00721,+0.00843,+1.48000,+0.00076
64.84,+0.00721,-0.00828,+1.49000,+0.00334
64.94,-0.00717,+0.00811,+1.50000,+0.00511
65.03,+0.00718,-0.00798,+1.51000,+0.00562
65.13,-0.00713,+0.00782,+1.52000,+0.00474
65.23,+0.00714,-0.00769,+1.53000,+0.00268
65.33,-0.00709,+0.00754,+1.54000,-0.00006
65.43,+0.00711,-0.00741,+1.55000,-0.00280
65.53,-0.00705,+0.00727,+1.56000,-0.00486
65.63,+0.00707,-0.00714,+1.57000,-0.00573
65.73,-0.00701,+0.00701,+1.58000,-0.00518
65.83,+0.00705,-0.00689,+1.59000,-0.00334
65.93,-0.00696,+0.00677,+1.60000,-0.00066
66.03,+0.00701,-0.00662,+1.61000,+0.00219
66.13,-0.00694,+0.00654,+1.62000,+0.00452
66.23,+0.00696,-0.00639,+1.63000,+0.00574
66.33,-0.00691,+0.00630,+1.64000,+0.00555
66.43,+0.00692,-0.00616,+1.65000,+0.00397
66.53,-0.00688,+0.00608,+1.66000,+0.00140
66.63,+0.00689,-0.00594,+1.67000,-0.00153
66.73,-0.00685,+0.00587,+1.68000,-0.00410
66.83,+0.00685,-0.00573,+1.69000,-0.00567
66.93,-0.00681,+0.00566,+1.70000,-0.00584
67.03,+0.00682,-0.00553,+1.71000,-0.00456
67.13,-0.00678,+0.00546,+1.72000,-0.00215
67.23,+0.00678,-0.00533,+1.73000,+0.00082
67.33,-0.00675,+0.00527,+1.74000,+0.00360
67.43,+0.00675,-0.00514,+1.75000,+0.00550
67.53,-0.00671,+0.00508,+1.76000,+0.00605
67.63,+0.00671,-0.00496,+1.77000,+0.00510
67.73,-0.00668,+0.00490,+1.78000,+0.00288
67.83,+0.00668,-0.00478,+1.79000,-0.00006
67.93,-0.00665,+0.00472,+1.80000,-0.00302
68.03,+0.00664,-0.00461,+1.81000,-0.00524
68.13,-0.00662,+0.00455,+1.82000,-0.00617
68.23,+0.00661,-0.00444,+1.83000,-0.00558
68.33,-0.00659,+0.00438,+1.84000,-0.00360
68.43,+0.00658,-0.00428,+1.85000,-0.00072
68.53,-0.00655,+0.00422,+1.86000,+0.00236
68.63,+0.00654,-0.00412,+1.87000,+0.00488
68.73,-0.00652,+0.00406,+1.88000,+0.00620
68.83,+0.00651,-0.00396,+1.89000,+0.00599
68.93,-0.00649,+0.00391,+1.90000,+0.00429
69.03,+0.00648,-0.00381,+1.91000,+0.00152
69.13,-0.00646,+0.00377,+1.92000,-0.00165
69.23,+0.00644,-0.00366,+1.93000,-0.00443
69.33,-0.00642,+0.00362,+1.94000,-0.00612
69.43,+0.00641,-0.00352,+1.95000,-0.00631
69.53,-0.00639,+0.00348,+1.96000,-0.00493
69.63,+0.00637,-0.00338,+1.97000,-0.00232
69.73,-0.00636,+0.00334,+1.98000,+0.00088
69.83,+0.00634,-0.00326,+1.99000,+0.00389
69.93,-0.00633,+0.00320,+2.00000,+0.00595
70.03,+0.00631,-0.00312,+2.01000,+0.00655
70.13,-0.00629,+0.00307,+2.02000,+0.00552
70.23,+0.00627,-0.00299,+2.03000,+0.00312
70.33,-0.00626,+0.00294,+2.04000,-0.00007
70.43,+0.00624,-0.00287,+2.05000,-0.00327
70.53,-0.00623,+0.00282,+2.06000,-0.00567
70.63,+0.00621,-0.00274,+2.07000,-0.00669
70.73,-0.00619,+0.00269,+2.08000,-0.00605
70.83,+0.00617,-0.00262,+2.09000,-0.00391
70.93,-0.00616,+0.00257,+2.10000,-0.00078
71.03,+0.00614,-0.00250,+2.11000,+0.00257
71.13,-0.00612,+0.00246,+2.12000,+0.00530
71.23,+0.00611,-0.00239,+2.13000,+0.00673
71.33,-0.00609,+0.00234,+2.14000,+0.00650
71.43,+0.00607,-0.00227,+2.15000,+0.00466
71.53,-0.00606,+0.00223,+2.16000,+0.00165
71.63,+0.00604,-0.00216,+2.17000,-0.00180
71.73,-0.00602,+0.00212,+2.18000,-0.00482
71.83,+0.00600,-0.00205,+2.19000,-0.00666
71.93,-0.00599,+0.00201,+2.20000,-0.00687
72.03,+0.00597,-0.00195,+2.21000,-0.00537
72.13,-0.00596,+0.00191,+2.22000,-0.00253
72.23,+0.00594,-0.00184,+2.23000,+0.00096
72.33,-0.00592,+0.00180,+2.24000,+0.00424
72.43,+0.00590,-0.00174,+2.25000,+0.00648
72.53,-0.00589,+0.00170,+2.26000,+0.00714
72.63,+0.00587,-0.00164,+2.27000,+0.00602
72.73,-0.00585,+0.00160,+2.28000,+0.00341
72.83,+0.00583,-0.00154,+2.29000,-0.00008
72.93,-0.00582,+0.00151,+2.30000,-0.00357
73.03,+0.00580,-0.00144,+2.31000,-0.00619
73.13,-0.00578,+0.00141,+2.32000,-0.00730
73.23,+0.00576,-0.00134,+2.33000,-0.00661
73.33,-0.00575,+0.00131,+2.34000,-0.00427
73.43,+0.00573,-0.00125,+2.35000,-0.00085
73.53,-0.00572,+0.00122,+2.36000,+0.00281
73.63,+0.00569,-0.00116,+2.37000,+0.00579
73.73,-0.00568,+0.00112,+2.38000,+0.00736
73.83,+0.00566,-0.00108,+2.39000,+0.00712
73.93,-0.00564,+0.00104,+2.40000,+0.00510
74.03,+0.00562,-0.00098,+2.41000,+0.00180
74.13,-0.00561,+0.00095,+2.42000,-0.00197
74.23,+0.00558,-0.00090,+2.43000,-0.00528
74.33,-0.00558,+0.00086,+2.44000,-0.00730
74.43,+0.00555,-0.00081,+2.45000,-0.00753
74.53,-0.00554,+0.00078,+2.46000,-0.00589
74.63,+0.00551,-0.00073,+2.47000,-0.00277
74.73,-0.00550,+0.00070,+2.48000,+0.00106
74.83,+0.00548,-0.00064,+2.49000,+0.00465
74.93,-0.00546,+0.00061,+2.50000,+0.00712
75.02,+0.00545,-0.00056,+2.51000,+0.00784
75.12,-0.00543,+0.00053,+2.52000,+0.00662
75.22,+0.00541,-0.00048,+2.53000,+0.00374
75.32,-0.00539,+0.00045,+2.54000,-0.00008
75.42,+0.00537,-0.00040,+2.55000,-0.00392
75.52,-0.00536,+0.00038,+2.56000,-0.00682
75.62,+0.00533,-0.00033,+2.57000,-0.00804
75.72,-0.00532,+0.00030,+2.58000,-0.00728
75.82,+0.00530,-0.00025,+2.59000,-0.00470
75.92,-0.00528,+0.00022,+2.60000,-0.00094
76.02,+0.00526,-0.00018,+2.61000,+0.00309
76.12,-0.00525,+0.00015,+2.62000,+0.00639
76.22,+0.00522,-0.00010,+2.63000,+0.00813
76.32,-0.00521,+0.00007,+2.64000,+0.00786
76.42,+0.00519,-0.00003,+2.65000,+0.00563
76.52,-0.00517,+0.00000,+2.66000,+0.00199
76.62,+0.00515,+0.00004,+2.67000,-0.00217
76.72,-0.00514,-0.00007,+2.68000,-0.00584
76.82,+0.00511,+0.00012,+2.69000,-0.00808
76.92,-0.00510,-0.00014,+2.70000,-0.00833
77.02,+0.00507,+0.00019,+2.71000,-0.00652
77.12,-0.00506,-0.00020,+2.72000,-0.00307
77.22,+0.00503,+0.00025,+2.73000,+0.00117
77.32,-0.00502,-0.00027,+2.74000,+0.00516
77.42,+0.00500,+0.00032,+2.75000,+0.00790
77.52,-0.00498,-0.00034,+2.76000,+0.00870
77.62,+0.00496,+0.00038,+2.77000,+0.00735
77.72,-0.00495,-0.00041,+2.78000,+0.00416
77.82,+0.00492,+0.00045,+2.79000,-0.00009
77.92,-0.00491,-0.00047,+2.80000,-0.00436
78.02,+0.00488,+0.00051,+2.81000,-0.00758
78.12,-0.00488,-0.00054,+2.82000,-0.00895
78.22,+0.00484,+0.00058,+2.83000,-0.00810
78.32,-0.00484,-0.00060,+2.84000,-0.00524
78.42,+0.00480,+0.00064,+2.85000,-0.00104
78.52,-0.00479,-0.00066,+2.86000,+0.00345
78.62,+0.00477,+0.00070,+2.87000,+0.00713
78.72,-0.00475,-0.00072,+2.88000,+0.00907
78.82,+0.00473,+0.00076,+2.89000,+0.00877
78.92,-0.00471,-0.00078,+2.90000,+0.00629
79.02,+0.00469,+0.00082,+2.91000,+0.00223
79.12,-0.00468,-0.00084,+2.92000,-0.00243
79.22,+0.00465,+0.00088,+2.93000,-0.00653
79.32,-0.00464,-0.00090,+2.94000,-0.00904
79.42,+0.00461,+0.00094,+2.95000,-0.00933
79.52,-0.00460,-0.00096,+2.96000,-0.00731
79.62,+0.00457,+0.00100,+2.97000,-0.00344
79.72,-0.00456,-0.00102,+2.98000,+0.00131
79.82,+0.00453,+0.00105,+2.99000,+0.00579
79.92,-0.00452,-0.00107,+3.00000,+0.00887
80.02,+0.00449,+0.00111,+3.01000,+0.00977
80.12,-0.00448,-0.00113,+3.02000,+0.00826
80.22,+0.00445,+0.00117,+3.03000,+0.00468
80.32,-0.00444,-0.00118,+3.04000,-0.00011
80.42,+0.00441,+0.00122,+3.05000,-0.00491
80.52,-0.00440,-0.00123,+3.06000,-0.00854
80.62,+0.00436,+0.00128,+3.07000,-0.01009
80.72,-0.00436,-0.00129,+3.08000,-0.00914
80.82,+0.00432,+0.00133,+3.09000,-0.00591
80.92,-0.00432,-0.00134,+3.10000,-0.00118
81.02,+0.00428,+0.00138,+3.11000,+0.00390
81.12,-0.00428,-0.00139,+3.12000,+0.00805
81.22,+0.00424,+0.00143,+3.13000,+0.01025
81.32,-0.00424,-0.00144,+3.14000,+0.00992
81.42,+0.00420,+0.00148,+3.15000,+0.00712
81.52,-0.00420,-0.00149,+3.16000,+0.00252
81.62,+0.00415,+0.00153,+3.17000,-0.00276
81.72,-0.00417,-0.00154,+3.18000,-0.00740
81.82,+0.00410,+0.00157,+3.19000,-0.01026
81.92,-0.00414,-0.00160,+3.20000,-0.01060
82.02,+0.00406,+0.00161,+3.21000,-0.00830
82.12,-0.00409,-0.00166,+3.22000,-0.00392
82.22,+0.00403,+0.00165,+3.23000,+0.00149
82.32,-0.00404,-0.00170,+3.24000,+0.00659
82.42,+0.00399,+0.00170,+3.25000,+0.01011
82.52,-0.00399,-0.00175,+3.26000,+0.01115
82.62,+0.00395,+0.00175,+3.27000,+0.00943
82.72,-0.00395,-0.00179,+3.28000,+0.00534
82.82,+0.00391,+0.00179,+3.29000,-0.00012
82.92,-0.00391,-0.00184,+3.30000,-0.00562
83.02,+0.00387,+0.00184,+3.31000,-0.00978
83.12,-0.00387,-0.00188,+3.32000,-0.01155
83.22,+0.00383,+0.00188,+3.33000,-0.01047
83.32,-0.00382,-0.00193,+3.34000,-0.00678
83.42,+0.00379,+0.00193,+3.35000,-0.00135
83.52,-0.00378,-0.00197,+3.36000,+0.00448
83.62,+0.00374,+0.00197,+3.37000,+0.00926
83.72,-0.00374,-0.00201,+3.38000,+0.01180
83.82,+0.00370,+0.00201,+3.39000,+0.01143
83.92,-0.00369,-0.00205,+3.40000,+0.00821
84.02,+0.00366,+0.00205,+3.41000,+0.00291
84.12,-0.00365,-0.00209,+3.42000,-0.00318
84.22,+0.00362,+0.00209,+3.43000,-0.00855
84.32,-0.00361,-0.00213,+3.44000,-0.01187
84.42,+0.00358,+0.00213,+3.45000,-0.01227
84.52,-0.00356,-0.00217,+3.46000,-0.00962
84.62,+0.00353,+0.00217,+3.47000,-0.00454
84.72,-0.00352,-0.00221,+3.48000,+0.00173
84.82,+0.00349,+0.00221,+3.49000,+0.00766
84.92,-0.00347,-0.00225,+3.50000,+0.01175
85.01,+0.00345,+0.00225,+3.51000,+0.01297
85.11,-0.00343,-0.00229,+3.52000,+0.01098
85.21,+0.00341,+0.00228,+3.53000,+0.00623
85.31,-0.00338,-0.00233,+3.54000,-0.00014
85.41,+0.00337,+0.00232,+3.55000,-0.00656
85.51,-0.00334,-0.00237,+3.56000,-0.01143
85.61,+0.00333,+0.00236,+3.57000,-0.01352
85.71,-0.00329,-0.00240,+3.58000,-0.01227
85.81,+0.00328,+0.00240,+3.59000,-0.00795
85.91,-0.00325,-0.00243,+3.60000,-0.00159
86.01,+0.00324,+0.00244,+3.61000,+0.00526
86.11,-0.00321,-0.00247,+3.62000,+0.01089
86.21,+0.00319,+0.00247,+3.63000,+0.01389
86.31,-0.00316,-0.00250,+3.64000,+0.01347
86.41,+0.00315,+0.00251,+3.65000,+0.00969
86.51,-0.00312,-0.00253,+3.66000,+0.00344
86.61,+0.00310,+0.00254,+3.67000,-0.00376
86.71,-0.00308,-0.00257,+3.68000,-0.01013
86.81,+0.00306,+0.00258,+3.69000,-0.01407
86.91,-0.00303,-0.00260,+3.70000,-0.01456
87.01,+0.00301,+0.00261,+3.71000,-0.01143
87.11,-0.00299,-0.00263,+3.72000,-0.00540
87.21,+0.00297,+0.00264,+3.73000,+0.00206
87.31,-0.00295,-0.00266,+3.74000,+0.00913
87.41,+0.00292,+0.00267,+3.75000,+0.01403
87.51,-0.00290,-0.00270,+3.76000,+0.01550
87.61,+0.00288,+0.00270,+3.77000,+0.01314
87.71,-0.00286,-0.00273,+3.78000,+0.00746
87.81,+0.00283,+0.00273,+3.79000,-0.00017
87.91,-0.00281,-0.00275,+3.80000,-0.00788
88.01,+0.00279,+0.00276,+3.81000,-0.01375
88.11,-0.00277,-0.00278,+3.82000,-0.01629
88.21,+0.00274,+0.00279,+3.83000,-0.01480
88.31,-0.00272,-0.00281,+3.84000,-0.00960
88.41,+0.00270,+0.00282,+3.85000,-0.00192
88.51,-0.00267,-0.00284,+3.86000,+0.00637
88.61,+0.00265,+0.00285,+3.87000,+0.01322
88.71,-0.00263,-0.00287,+3.88000,+0.01688
88.81,+0.00261,+0.00287,+3.89000,+0.01640
88.91,-0.00258,-0.00290,+3.90000,+0.01181
89.01,+0.00256,+0.00290,+3.91000,+0.00420
89.11,-0.00254,-0.00293,+3.92000,-0.00460
89.21,+0.00252,+0.00293,+3.93000,-0.01241
89.31,-0.00249,-0.00295,+3.94000,-0.01726
89.41,+0.00248,+0.00295,+3.95000,-0.01789
89.51,-0.00244,-0.00298,+3.96000,-0.01407
89.61,+0.00243,+0.00298,+3.97000,-0.00666
89.71,-0.00239,-0.00300,+3.98000,+0.00255
89.81,+0.00240,+0.00301,+3.99000,+0.01130
89.91,-0.00234,-0.00303,+4.00000,+0.01740
90.01,+0.00235,+0.00303,+4.01000,+0.01927
90.11,-0.00230,-0.00305,+4.02000,+0.01636
90.21,+0.00229,+0.00305,+4.03000,+0.00931
90.31,-0.00226,-0.00307,+4.04000,-0.00021
90.41,+0.00224,+0.00308,+4.05000,-0.00987
90.51,-0.00222,-0.00309,+4.06000,-0.01726
90.61,+0.00219,+0.00310,+4.07000,-0.02049
90.71,-0.00218,-0.00312,+4.08000,-0.01866
90.81,+0.00214,+0.00312,+4.09000,-0.01213
90.91,-0.00213,-0.00314,+4.10000,-0.00243
91.01,+0.00209,+0.00314,+4.11000,+0.00809
91.11,-0.00209,-0.00316,+4.12000,+0.01681
91.21,+0.00204,+0.00317,+4.13000,+0.02152
91.31,-0.00204,-0.00318,+4.14000,+0.02095
91.41,+0.00200,+0.00319,+4.15000,+0.01513
91.51,-0.00200,-0.00320,+4.16000,+0.00539
91.61,+0.00195,+0.00321,+4.17000,-0.00592
91.71,-0.00195,-0.00322,+4.18000,-0.01602
91.81,+0.00190,+0.00323,+4.19000,-0.02234
91.91,-0.00191,-0.00324,+4.20000,-0.02322
92.01,+0.00185,+0.00325,+4.21000,-0.01831
92.11,-0.00186,-0.00326,+4.22000,-0.00869
92.21,+0.00181,+0.00327,+4.23000,+0.00334
92.31,-0.00182,-0.00327,+4.24000,+0.01483
92.41,+0.00176,+0.00329,+4.25000,+0.02290
92.51,-0.00177,-0.00329,+4.26000,+0.02544
92.61,+0.00171,+0.00331,+4.27000,+0.02167
92.71,-0.00172,-0.00331,+4.28000,+0.01237
92.81,+0.00166,+0.00332,+4.29000,-0.00028
92.91,-0.00168,-0.00333,+4.30000,-0.01321
93.01,+0.00161,+0.00334,+4.31000,-0.02317
93.11,-0.00163,-0.00334,+4.32000,-0.02760
93.21,+0.00156,+0.00336,+4.33000,-0.02523
93.31,-0.00159,-0.00336,+4.34000,-0.01646
93.41,+0.00151,+0.00338,+4.35000,-0.00331
93.51,-0.00155,-0.00337,+4.36000,+0.01106
93.61,+0.00145,+0.00340,+4.37000,+0.02309
93.71,-0.00151,-0.00338,+4.38000,+0.02968
93.81,+0.00141,+0.00341,+4.39000,+0.02902
93.91,-0.00146,-0.00339,+4.40000,+0.02104
94.01,+0.00137,+0.00342,+4.41000,+0.00753
94.11,-0.00140,-0.00341,+4.42000,-0.00831
94.21,+0.00133,+0.00344,+4.43000,-0.02258
94.31,-0.00135,-0.00342,+4.44000,-0.03165
94.41,+0.00128,+0.00345,+4.45000,-0.03306
94.51,-0.00130,-0.00343,+4.46000,-0.02620
94.61,+0.00124,+0.00346,+4.47000,-0.01251
94.71,-0.00125,-0.00345,+4.48000,+0.00483
94.81,+0.00119,+0.00348,+4.49000,+0.02158
94.91,-0.00120,-0.00346,+4.50000,+0.03351
95.00,+0.00115,+0.00349,+4.51000,+0.03745
95.10,-0.00115,-0.00347,+4.52000,+0.03210
95.20,+0.00110,+0.00350,+4.53000,+0.01844
95.30,-0.00110,-0.00348,+4.54000,-0.00042
95.40,+0.00106,+0.00351,+4.55000,-0.01995
95.50,-0.00105,-0.00349,+4.56000,-0.03524
95.60,+0.00101,+0.00352,+4.57000,-0.04229
95.70,-0.00100,-0.00350,+4.58000,-0.03895
95.80,+0.00096,+0.00353,+4.59000,-0.02562
95.90,-0.00095,-0.00351,+4.60000,-0.00519
96.00,+0.00092,+0.00354,+4.61000,+0.01750
96.10,-0.00090,-0.00352,+4.62000,+0.03683
96.20,+0.00087,+0.00355,+4.63000,+0.04778
96.30,-0.00086,-0.00353,+4.64000,+0.04716
96.40,+0.00082,+0.00356,+4.65000,+0.03454
96.50,-0.00081,-0.00354,+4.66000,+0.01249
96.60,+0.00078,+0.00356,+4.67000,-0.01393
96.70,-0.00076,-0.00355,+4.68000,-0.03828
96.80,+0.00073,+0.00357,+4.69000,-0.05427
96.90,-0.00071,-0.00356,+4.70000,-0.05739
97.00,+0.00068,+0.00358,+4.71000,-0.04607
97.10,-0.00066,-0.00356,+4.72000,-0.02229
97.20,+0.00063,+0.00358,+4.73000,+0.00872
97.30,-0.00062,-0.00357,+4.74000,+0.03957
97.40,+0.00058,+0.00359,+4.75000,+0.06242
97.50,-0.00057,-0.00357,+4.76000,+0.07091
97.60,+0.00053,+0.00359,+4.77000,+0.06184
97.70,-0.00052,-0.00358,+4.78000,+0.03618
97.80,+0.00049,+0.00360,+4.79000,-0.00085
97.90,-0.00047,-0.00359,+4.80000,-0.04074
98.00,+0.00044,+0.00361,+4.81000,-0.07359
98.10,-0.00042,-0.00359,+4.82000,-0.09039
98.20,+0.00039,+0.00361,+4.83000,-0.08537
98.30,-0.00038,-0.00360,+4.84000,-0.05767
98.40,+0.00035,+0.00361,+4.85000,-0.01204
98.50,-0.00032,-0.00360,+4.86000,+0.04182
98.60,+0.00030,+0.00361,+4.87000,+0.09107
98.70,-0.00028,-0.00360,+4.88000,+0.12254
