Freq,re(FFT),im(FFT),input,re(signal)
11.29,+0.00265,-0.00285,-3.87000,-0.01714
11.39,-0.00267,+0.00284,-3.86000,-0.01213
11.49,+0.00270,-0.00282,-3.85000,-0.00423
11.59,-0.00272,+0.00281,-3.84000,+0.00456
11.69,+0.00274,-0.00279,-3.83000,+0.01208
11.79,-0.00277,+0.00278,-3.82000,+0.01651
11.89,+0.00279,-0.00276,-3.81000,+0.01681
11.99,-0.00281,+0.00275,-3.80000,+0.01298
12.09,+0.00283,-0.00273,-3.79000,+0.00604
12.19,-0.00286,+0.00273,-3.78000,-0.00227
12.29,+0.00288,-0.00270,-3.77000,-0.00988
12.39,-0.00290,+0.00270,-3.76000,-0.01495
12.49,+0.00292,-0.00267,-3.75000,-0.01626
12.59,-0.00295,+0.00266,-3.74000,-0.01356
12.69,+0.00297,-0.00264,-3.73000,-0.00758
12.79,-0.00299,+0.00263,-3.72000,+0.00017
12.89,+0.00301,-0.00261,-3.71000,+0.00775
12.99,-0.00303,+0.00260,-3.70000,+0.01331
13.09,+0.00306,-0.00258,-3.69000,+0.01552
13.19,-0.00308,+0.00257,-3.68000,+0.01388
13.29,+0.00310,-0.00254,-3.67000,+0.00886
13.39,-0.00312,+0.00253,-3.66000,+0.00174
13.49,+0.00315,-0.00251,-3.65000,-0.00570
13.59,-0.00316,+0.00250,-3.64000,-0.01162
13.69,+0.00319,-0.00247,-3.63000,-0.01461
13.79,-0.00321,+0.00247,-3.62000,-0.01396
13.89,+0.00324,-0.00244,-3.61000,-0.00990
13.99,-0.00325,+0.00243,-3.60000,-0.00346
14.09,+0.00328,-0.00240,-3.59000,+0.00373
14.19,-0.00329,+0.00240,-3.58000,+0.00991
14.29,+0.00333,-0.00236,-3.57000,+0.01356
14.39,-0.00334,+0.00237,-3.56000,+0.01383
14.49,+0.00337,-0.00232,-3.55000,+0.01070
14.59,-0.00338,+0.00233,-3.54000,+0.00498
14.69,+0.00341,-0.00228,-3.53000,-0.00188
14.79,-0.00343,+0.00229,-3.52000,-0.00818
14.89,+0.00345,-0.00225,-3.51000,-0.01239
14.99,-0.00347,+0.00225,-3.50000,-0.01350
15.08,+0.00349,-0.00221,-3.49000,-0.01127
15.18,-0.00352,+0.00221,-3.48000,-0.00631
15.28,+0.00353,-0.00217,-3.47000,+0.00014
15.38,-0.00356,+0.00217,-3.46000,+0.00647
15.48,+0.00358,-0.00213,-3.45000,+0.01112
15.58,-0.00361,+0.00213,-3.44000,+0.01298
15.68,+0.00362,-0.00209,-3.43000,+0.01163
15.78,-0.00365,+0.00209,-3.42000,+0.00743
15.88,+0.00366,-0.00205,-3.41000,+0.00146
15.98,-0.00369,+0.00205,-3.40000,-0.00479
16.08,+0.00370,-0.00201,-3.39000,-0.00979
16.18,-0.00374,+0.00201,-3.38000,-0.01231
16.28,+0.00374,-0.00197,-3.37000,-0.01178
16.38,-0.00378,+0.00197,-3.36000,-0.00836
16.48,+0.00379,-0.00193,-3.35000,-0.00293
16.58,-0.00382,+0.00193,-3.34000,+0.00316
16.68,+0.00383,-0.00188,-3.33000,+0.00840
16.78,-0.00387,+0.00188,-3.32000,+0.01150
16.88,+0.00387,-0.00184,-3.31000,+0.01175
16.98,-0.00391,+0.00184,-3.30000,+0.00910
17.08,+0.00391,-0.00179,-3.29000,+0.00424
17.18,-0.00395,+0.00179,-3.28000,-0.00160
17.28,+0.00395,-0.00175,-3.27000,-0.00698
17.38,-0.00399,+0.00175,-3.26000,-0.01058
17.48,+0.00399,-0.00170,-3.25000,-0.01153
17.58,-0.00404,+0.00170,-3.24000,-0.00964
17.68,+0.00403,-0.00165,-3.23000,-0.00540
17.78,-0.00409,+0.00166,-3.22000,+0.00012
17.88,+0.00406,-0.00161,-3.21000,+0.00555
17.98,-0.00414,+0.00160,-3.20000,+0.00955
18.08,+0.00410,-0.00157,-3.19000,+0.01116
18.18,-0.00417,+0.00154,-3.18000,+0.01000
18.28,+0.00415,-0.00153,-3.17000,+0.00640
18.38,-0.00420,+0.00149,-3.16000,+0.00126
18.48,+0.00420,-0.00148,-3.15000,-0.00413
18.58,-0.00424,+0.00144,-3.14000,-0.00845
18.68,+0.00424,-0.00143,-3.13000,-0.01064
18.78,-0.00428,+0.00139,-3.12000,-0.01019
18.88,+0.00428,-0.00138,-3.11000,-0.00724
18.98,-0.00432,+0.00134,-3.10000,-0.00254
19.08,+0.00432,-0.00133,-3.09000,+0.00274
19.18,-0.00436,+0.00129,-3.08000,+0.00729
19.28,+0.00436,-0.00128,-3.07000,+0.00999
19.38,-0.00440,+0.00123,-3.06000,+0.01021
19.48,+0.00441,-0.00122,-3.05000,+0.00791
19.58,-0.00444,+0.00118,-3.04000,+0.00369
19.68,+0.00445,-0.00117,-3.03000,-0.00139
19.78,-0.00448,+0.00113,-3.02000,-0.00608
19.88,+0.00449,-0.00111,-3.01000,-0.00923
19.98,-0.00452,+0.00107,-3.00000,-0.01007
20.08,+0.00453,-0.00105,-2.99000,-0.00842
20.18,-0.00456,+0.00102,-2.98000,-0.00472
20.28,+0.00457,-0.00100,-2.97000,+0.00011
20.38,-0.00460,+0.00096,-2.96000,+0.00486
20.48,+0.00461,-0.00094,-2.95000,+0.00837
20.58,-0.00464,+0.00090,-2.94000,+0.00979
20.68,+0.00465,-0.00088,-2.93000,+0.00878
20.78,-0.00468,+0.00084,-2.92000,+0.00562
20.88,+0.00469,-0.00082,-2.91000,+0.00111
20.98,-0.00471,+0.00078,-2.90000,-0.00363
21.08,+0.00473,-0.00076,-2.89000,-0.00743
21.18,-0.00475,+0.00072,-2.88000,-0.00937
21.28,+0.00477,-0.00070,-2.87000,-0.00898
21.38,-0.00479,+0.00066,-2.86000,-0.00638
21.48,+0.00480,-0.00064,-2.85000,-0.00224
21.58,-0.00484,+0.00060,-2.84000,+0.00242
21.68,+0.00484,-0.00058,-2.83000,+0.00643
21.78,-0.00488,+0.00054,-2.82000,+0.00883
21.88,+0.00488,-0.00051,-2.81000,+0.00903
21.98,-0.00491,+0.00047,-2.80000,+0.00700
22.08,+0.00492,-0.00045,-2.79000,+0.00327
22.18,-0.00495,+0.00041,-2.78000,-0.00123
22.28,+0.00496,-0.00038,-2.77000,-0.00539
